Название;Родитель;Индекс;"Является городом?";"ID по КЛАДР"
Россия;;;0;0
"Мурманская область";Россия;;0;0
Мордовия;Россия;;0;0
Чувашия;Россия;;0;0
"Оренбургская область";Россия;;0;0
"Свердловская область";Россия;;0;0
"Новгородская область";Россия;;0;0
Башкортостан;Россия;;0;0
"Астраханская область";Россия;;0;0
"Орловская область";Россия;;0;0
"Пермский край";Россия;;0;0
"Саха (Якутия)";Россия;;0;0
"Северная Осетия";Россия;;0;0
Татарстан;Россия;;0;0
"Тверская область";Россия;;0;0
"Тульская область";Россия;;0;0
"Псковская область";Россия;;0;0
Чечня;Россия;;0;0
"Усть-Ордынский Бурятский АО";Россия;;0;0
"Смоленская область";Россия;;0;0
Удмуртия;Россия;;0;0
"Иркутская область";Россия;;0;0
"Липецкая область";Россия;;0;0
"Курская область";Россия;;0;0
"Курганская область";Россия;;0;0
"Самарская область";Россия;;0;0
"Кемеровская область";Россия;;0;0
Карачаево-Черкессия;Россия;;0;0
"Калининградская область";Россия;;0;0
"Красноярский край";Россия;;0;0
Дагестан;Россия;;0;0
"Воронежская область";Россия;;0;0
"Московская область";Россия;;0;0
Москва;Россия;;0;0
Крым;Россия;;0;0
"Ярославская область";Россия;;0;0
"Ростовская область";Россия;;0;0
"Нижегородская область";Россия;;0;0
"Ненецкий АО";Россия;;0;0
"Омская область";Россия;;0;0
"Новосибирская область";Россия;;0;0
"Белгородская область";Россия;;0;0
"Пензенская область";Россия;;0;0
"Сахалинская область";Россия;;0;0
"Ульяновская область";Россия;;0;0
"Ханты-Мансийский АО";Россия;;0;0
Хакасия;Россия;;0;0
"Томская область";Россия;;0;0
"Тыва (Тува)";Россия;;0;0
"Челябинская область";Россия;;0;0
"Хабаровский край";Россия;;0;0
"Тамбовская область";Россия;;0;0
"Ставропольский край";Россия;;0;0
"Тюменская область";Россия;;0;0
"Приморский край";Россия;;0;0
Ингушетия;Россия;;0;0
"Ямало-Ненецкий АО";Россия;;0;0
Коми;Россия;;0;0
"Магаданская область";Россия;;0;0
"Ленинградская область";Россия;;0;0
"Рязанская область";Россия;;0;0
"Кировская область";Россия;;0;0
Кабардино-Балкария;Россия;;0;0
"Забайкальский край";Россия;;0;0
Карелия;Россия;;0;0
"Камчатский край";Россия;;0;0
"Калужская область";Россия;;0;0
Калмыкия;Россия;;0;0
"Саратовская область";Россия;;0;0
"Чукотский АО";Россия;;0;0
"Ивановская область";Россия;;0;0
"Брянская область";Россия;;0;0
Адыгея;Россия;;0;0
Алтай;Россия;;0;0
"Амурская область";Россия;;0;0
"Архангельская область";Россия;;0;0
"Краснодарский край";Россия;;0;0
"Еврейская АО";Россия;;0;0
"Алтайский край";Россия;;0;0
"Вологодская область";Россия;;0;0
"Волгоградская область";Россия;;0;0
"Владимирская область";Россия;;0;0
Бурятия;Россия;;0;0
Марий-Эл;Россия;;0;0
"Костромская область";Россия;;0;0
Буй;"Россия/Костромская область";157000;1;4400300100000
Волгореченск;"Россия/Костромская область";156901;1;4400000200000
Галич;"Россия/Костромская область";;1;4400500100000
Кологрив;"Россия/Костромская область";157440;1;4400700100000
Кострома;"Россия/Костромская область";156000;1;4400000300000
Макарьев;"Россия/Костромская область";157461;1;4400900100000
Мантурово;"Россия/Костромская область";157300;1;4401000100000
Нерехта;"Россия/Костромская область";157800;1;4401300100000
Нея;"Россия/Костромская область";157330;1;4401200100000
Солигалич;"Россия/Костромская область";157170;1;4402000100000
Чухлома;"Россия/Костромская область";157130;1;4402300100000
Шарья;"Россия/Костромская область";157500;1;4402400100000
Апрелевка;"Россия/Московская область";143362;1;5002000200000
Балашиха;"Россия/Московская область";143900;1;5000003600000
Бронницы;"Россия/Московская область";140170;1;5000000200000
Верея;"Россия/Московская область";143330;1;5002000300000
Видное;"Россия/Московская область";142700;1;5001400100000
Волоколамск;"Россия/Московская область";143600;1;5000300100000
Воскресенск;"Россия/Московская область";140200;1;5000400100000
Высоковск;"Россия/Московская область";141650;1;5001100200000
Голицыно;"Россия/Московская область";143040;1;5002200300000
Дедовск;"Россия/Московская область";143530;1;5000900200000
Дзержинский;"Россия/Московская область";140090;1;5000002300000
Дмитров;"Россия/Московская область";141800;1;5000006100000
Долгопрудный;"Россия/Московская область";141700;1;5000002900000
Домодедово;"Россия/Московская область";142000;1;5000000100000
Дрезна;"Россия/Московская область";142660;1;5002400200000
Дубна;"Россия/Московская область";141980;1;5000000300000
Егорьевск;"Россия/Московская область";140300;1;5000003900000
Жуковский;"Россия/Московская область";140180;1;5000000500000
Зарайск;"Россия/Московская область";140600;1;5000004600000
Звенигород;"Россия/Московская область";143180;1;5000000600000
Ивантеевка;"Россия/Московская область";141280;1;5000000700000
